Namespace(basenet='vgg16_reducedfc.pth', batch_size=16, cuda=True, dataset='VOC', dataset_root='../data_SRDP/VOCdevkit', gamma=0.1, lr=1e-06, momentum=0.9, num_workers=8, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005) 
iter 0 || Loss: 6074.5042724609375 || cur_lr: 1e-06 
iter 310 || Loss: 1786.1417236328125 || cur_lr: 1e-06 
iter 320 || Loss: 1544.0776977539062 || cur_lr: 1e-06 
iter 330 || Loss: 2546.633056640625 || cur_lr: 1e-06 
iter 340 || Loss: 1330.8993530273438 || cur_lr: 1e-06 
iter 350 || Loss: 1506.9862670898438 || cur_lr: 1e-06 
iter 360 || Loss: 1191.8672485351562 || cur_lr: 1e-06 
iter 370 || Loss: 1681.7416381835938 || cur_lr: 1e-06 
iter 380 || Loss: 1564.5153198242188 || cur_lr: 1e-06 
iter 390 || Loss: 2026.9188842773438 || cur_lr: 1e-06 
iter 400 || Loss: 1541.0714721679688 || cur_lr: 1e-06 
iter 410 || Loss: 2848.125 || cur_lr: 1e-06 
iter 420 || Loss: 1532.9204711914062 || cur_lr: 1e-06 
iter 430 || Loss: 2690.0184326171875 || cur_lr: 1e-06 
iter 440 || Loss: 1181.0176391601562 || cur_lr: 1e-06 
iter 450 || Loss: 1588.2840576171875 || cur_lr: 1e-06 
iter 460 || Loss: 1763.6949462890625 || cur_lr: 1e-06 
iter 470 || Loss: 1209.396484375 || cur_lr: 1e-06 
iter 480 || Loss: 1529.9263305664062 || cur_lr: 1e-06 
iter 490 || Loss: 2788.4840087890625 || cur_lr: 1e-06 
iter 500 || Loss: 1234.0043334960938 || cur_lr: 1e-06 
iter 510 || Loss: 1825.4684448242188 || cur_lr: 1e-06 
iter 520 || Loss: 1186.7432556152344 || cur_lr: 1e-06 
iter 530 || Loss: 1509.74267578125 || cur_lr: 1e-06 
iter 540 || Loss: 1993.7982177734375 || cur_lr: 1e-06 
iter 550 || Loss: 1144.2452697753906 || cur_lr: 1e-06 
iter 560 || Loss: 1961.591552734375 || cur_lr: 1e-06 
iter 570 || Loss: 1893.1743774414062 || cur_lr: 1e-06 
iter 580 || Loss: 1689.5173950195312 || cur_lr: 1e-06 
iter 590 || Loss: 1498.6823120117188 || cur_lr: 1e-06 
iter 600 || Loss: 2244.0016479492188 || cur_lr: 1e-06 
iter 610 || Loss: 1903.14697265625 || cur_lr: 1e-06 
iter 620 || Loss: 1742.5556030273438 || cur_lr: 1e-06 
iter 630 || Loss: 1598.157470703125 || cur_lr: 1e-06 
iter 640 || Loss: 1377.0287475585938 || cur_lr: 1e-06 
iter 650 || Loss: 1510.326171875 || cur_lr: 1e-06 
iter 660 || Loss: 2707.148193359375 || cur_lr: 1e-06 
iter 670 || Loss: 1533.009765625 || cur_lr: 1e-06 
iter 680 || Loss: 1438.1777954101562 || cur_lr: 1e-06 
iter 690 || Loss: 2199.341796875 || cur_lr: 1e-06 
iter 700 || Loss: 2711.148681640625 || cur_lr: 1e-06 
iter 710 || Loss: 1839.7413330078125 || cur_lr: 1e-06 
iter 720 || Loss: 1527.3682861328125 || cur_lr: 1e-06 
iter 730 || Loss: 1392.8391723632812 || cur_lr: 1e-06 
iter 740 || Loss: 1521.1347045898438 || cur_lr: 1e-06 
iter 750 || Loss: 1045.0974426269531 || cur_lr: 1e-06 
iter 760 || Loss: 1821.8541259765625 || cur_lr: 1e-06 
iter 770 || Loss: 1324.0787963867188 || cur_lr: 1e-06 
iter 780 || Loss: 1668.5292358398438 || cur_lr: 1e-06 
iter 790 || Loss: 1227.4232177734375 || cur_lr: 1e-06 
iter 800 || Loss: 1300.9152221679688 || cur_lr: 1e-06 
iter 810 || Loss: 1721.3847045898438 || cur_lr: 1e-06 
iter 820 || Loss: 1278.02978515625 || cur_lr: 1e-06 
iter 830 || Loss: 1346.3067626953125 || cur_lr: 1e-06 
iter 840 || Loss: 1319.0620727539062 || cur_lr: 1e-06 
iter 850 || Loss: 2086.8513793945312 || cur_lr: 1e-06 
iter 860 || Loss: 1977.8792114257812 || cur_lr: 1e-06 
iter 870 || Loss: 1564.1880493164062 || cur_lr: 1e-06 
iter 880 || Loss: 1411.6327514648438 || cur_lr: 1e-06 
iter 890 || Loss: 1305.70166015625 || cur_lr: 1e-06 
iter 900 || Loss: 1103.6058959960938 || cur_lr: 1e-06 
iter 910 || Loss: 1411.1726989746094 || cur_lr: 1e-06 
iter 920 || Loss: 849.9450073242188 || cur_lr: 1e-06 
iter 930 || Loss: 1686.9375 || cur_lr: 1e-06 
iter 940 || Loss: 1248.8512878417969 || cur_lr: 1e-06 
iter 950 || Loss: 1719.1387939453125 || cur_lr: 1e-06 
iter 960 || Loss: 1617.2711791992188 || cur_lr: 1e-06 
iter 970 || Loss: 1351.9981689453125 || cur_lr: 1e-06 
iter 980 || Loss: 1668.4541015625 || cur_lr: 1e-06 
iter 990 || Loss: 1781.9751586914062 || cur_lr: 1e-06 
iter 1000 || Loss: 2333.8193359375 || cur_lr: 1e-06 
iter 1010 || Loss: 842.3345642089844 || cur_lr: 1e-06 
iter 1020 || Loss: 897.15771484375 || cur_lr: 1e-06 
iter 1030 || Loss: 1389.7263793945312 || cur_lr: 1e-06 
iter 1040 || Loss: 1623.8861083984375 || cur_lr: 1e-06 
iter 1050 || Loss: 1992.8502197265625 || cur_lr: 1e-06 
iter 1060 || Loss: 2097.5183715820312 || cur_lr: 1e-06 
iter 1070 || Loss: 1583.1409912109375 || cur_lr: 1e-06 
iter 1080 || Loss: 1038.5126953125 || cur_lr: 1e-06 
iter 1090 || Loss: 1633.7842407226562 || cur_lr: 1e-06 
iter 1100 || Loss: 1372.986083984375 || cur_lr: 1e-06 
iter 1110 || Loss: 2274.8278198242188 || cur_lr: 1e-06 
iter 1120 || Loss: 2013.8397216796875 || cur_lr: 1e-06 
iter 1130 || Loss: 2248.9864501953125 || cur_lr: 1e-06 
iter 1140 || Loss: 1159.8563232421875 || cur_lr: 1e-06 
iter 1150 || Loss: 1050.2128601074219 || cur_lr: 1e-06 
iter 1160 || Loss: 1292.1526489257812 || cur_lr: 1e-06 
iter 1170 || Loss: 2274.2404174804688 || cur_lr: 1e-06 
iter 1180 || Loss: 1970.9728393554688 || cur_lr: 1e-06 
iter 1190 || Loss: 1161.5454406738281 || cur_lr: 1e-06 
iter 1200 || Loss: 873.974609375 || cur_lr: 1e-06 
iter 1210 || Loss: 1114.0822448730469 || cur_lr: 1e-06 
iter 1220 || Loss: 1577.12353515625 || cur_lr: 1e-06 
iter 1230 || Loss: 1343.2584228515625 || cur_lr: 1e-06 
iter 1240 || Loss: 1475.62548828125 || cur_lr: 1e-06 
iter 1250 || Loss: 1277.5672607421875 || cur_lr: 1e-06 
iter 1260 || Loss: 1969.2214965820312 || cur_lr: 1e-06 
iter 1270 || Loss: 1498.66796875 || cur_lr: 1e-06 
iter 1280 || Loss: 1051.6183776855469 || cur_lr: 1e-06 
iter 1290 || Loss: 1745.2098388671875 || cur_lr: 1e-06 
iter 1300 || Loss: 1342.757568359375 || cur_lr: 1e-06 
iter 1310 || Loss: 1030.5269470214844 || cur_lr: 1e-06 
iter 1320 || Loss: 1166.5712585449219 || cur_lr: 1e-06 
iter 1330 || Loss: 1836.7500610351562 || cur_lr: 1e-06 
iter 1340 || Loss: 1510.6075439453125 || cur_lr: 1e-06 
iter 1350 || Loss: 2120.06494140625 || cur_lr: 1e-06 
iter 1360 || Loss: 1429.0975952148438 || cur_lr: 1e-06 
iter 1370 || Loss: 993.7683715820312 || cur_lr: 1e-06 
iter 1380 || Loss: 2079.953125 || cur_lr: 1e-06 
iter 1390 || Loss: 912.2633056640625 || cur_lr: 1e-06 
iter 1400 || Loss: 1699.4727783203125 || cur_lr: 1e-06 
iter 1410 || Loss: 812.9935302734375 || cur_lr: 1e-06 
iter 1420 || Loss: 1599.0421142578125 || cur_lr: 1e-06 
iter 1430 || Loss: 1338.8904418945312 || cur_lr: 1e-06 
iter 1440 || Loss: 1312.0235595703125 || cur_lr: 1e-06 
iter 1450 || Loss: 1278.1379699707031 || cur_lr: 1e-06 
iter 1460 || Loss: 1547.1207885742188 || cur_lr: 1e-06 
iter 1470 || Loss: 2101.9500732421875 || cur_lr: 1e-06 
iter 1480 || Loss: 2390.4468994140625 || cur_lr: 1e-06 
iter 1490 || Loss: 1522.9086303710938 || cur_lr: 1e-06 
iter 1500 || Loss: 2224.1083984375 || cur_lr: 1e-06 
iter 1510 || Loss: 1738.5591430664062 || cur_lr: 1e-06 
iter 1520 || Loss: 1813.7635498046875 || cur_lr: 1e-06 
iter 1530 || Loss: 1625.3934326171875 || cur_lr: 1e-06 
iter 1540 || Loss: 1848.5294799804688 || cur_lr: 1e-06 
iter 1550 || Loss: 961.7980651855469 || cur_lr: 1e-06 
iter 1560 || Loss: 1205.3889465332031 || cur_lr: 1e-06 
iter 1570 || Loss: 1590.5604858398438 || cur_lr: 1e-06 
iter 1580 || Loss: 1113.8111877441406 || cur_lr: 1e-06 
iter 1590 || Loss: 1108.9830932617188 || cur_lr: 1e-06 
iter 1600 || Loss: 1186.3368225097656 || cur_lr: 1e-06 
iter 1610 || Loss: 1295.3502807617188 || cur_lr: 1e-06 
iter 1620 || Loss: 1198.6934509277344 || cur_lr: 1e-06 
iter 1630 || Loss: 1762.2000122070312 || cur_lr: 1e-06 
iter 1640 || Loss: 1810.09814453125 || cur_lr: 1e-06 
iter 1650 || Loss: 1258.5350646972656 || cur_lr: 1e-06 
iter 1660 || Loss: 1000.0747680664062 || cur_lr: 1e-06 
iter 1670 || Loss: 2014.02197265625 || cur_lr: 1e-06 
iter 1680 || Loss: 1648.1214599609375 || cur_lr: 1e-06 
iter 1690 || Loss: 756.681884765625 || cur_lr: 1e-06 
iter 1700 || Loss: 1297.040283203125 || cur_lr: 1e-06 
iter 1710 || Loss: 1028.5046997070312 || cur_lr: 1e-06 
iter 1720 || Loss: 2172.1233520507812 || cur_lr: 1e-06 
iter 1730 || Loss: 1215.3695373535156 || cur_lr: 1e-06 
iter 1740 || Loss: 2030.7839965820312 || cur_lr: 1e-06 
iter 1750 || Loss: 1802.5669555664062 || cur_lr: 1e-06 
iter 1760 || Loss: 1820.881103515625 || cur_lr: 1e-06 
iter 1770 || Loss: 1432.8760375976562 || cur_lr: 1e-06 
iter 1780 || Loss: 1709.35791015625 || cur_lr: 1e-06 
iter 1790 || Loss: 1012.7716674804688 || cur_lr: 1e-06 
iter 1800 || Loss: 1309.064453125 || cur_lr: 1e-06 
iter 1810 || Loss: 1883.567626953125 || cur_lr: 1e-06 
iter 1820 || Loss: 734.3957824707031 || cur_lr: 1e-06 
iter 1830 || Loss: 1578.6926879882812 || cur_lr: 1e-06 
iter 1840 || Loss: 1271.343505859375 || cur_lr: 1e-06 
iter 1850 || Loss: 1093.787353515625 || cur_lr: 1e-06 
iter 1860 || Loss: 1536.8602905273438 || cur_lr: 1e-06 
iter 1870 || Loss: 1935.282958984375 || cur_lr: 1e-06 
iter 1880 || Loss: 1156.4328308105469 || cur_lr: 1e-06 
iter 1890 || Loss: 1430.9878540039062 || cur_lr: 1e-06 
iter 1900 || Loss: 1258.5098266601562 || cur_lr: 1e-06 
iter 1910 || Loss: 1535.677978515625 || cur_lr: 1e-06 
iter 1920 || Loss: 1293.1300354003906 || cur_lr: 1e-06 
iter 1930 || Loss: 1357.2970581054688 || cur_lr: 1e-06 
iter 1940 || Loss: 2449.00830078125 || cur_lr: 1e-06 
iter 1950 || Loss: 831.1078186035156 || cur_lr: 1e-06 
iter 1960 || Loss: 1083.1615905761719 || cur_lr: 1e-06 
iter 1970 || Loss: 1334.9039916992188 || cur_lr: 1e-06 
iter 1980 || Loss: 1328.4464111328125 || cur_lr: 1e-06 
iter 1990 || Loss: 1358.4696044921875 || cur_lr: 1e-06 
iter 2000 || Loss: 1001.8309631347656 || cur_lr: 1e-06 
iter 2010 || Loss: 1005.1231994628906 || cur_lr: 1e-06 
iter 2020 || Loss: 918.8968505859375 || cur_lr: 1e-06 
iter 2030 || Loss: 1088.3292541503906 || cur_lr: 1e-06 
iter 2040 || Loss: 1084.3538513183594 || cur_lr: 1e-06 
iter 2050 || Loss: 942.6971740722656 || cur_lr: 1e-06 
iter 2060 || Loss: 912.4051513671875 || cur_lr: 1e-06 
iter 2070 || Loss: 1375.3115844726562 || cur_lr: 1e-06 
iter 2080 || Loss: 1178.0067443847656 || cur_lr: 1e-06 
iter 2090 || Loss: 1576.3907470703125 || cur_lr: 1e-06 
iter 2100 || Loss: 1193.9903564453125 || cur_lr: 1e-06 
iter 2110 || Loss: 1455.0513916015625 || cur_lr: 1e-06 
iter 2120 || Loss: 1995.228271484375 || cur_lr: 1e-06 
iter 2130 || Loss: 1422.3128662109375 || cur_lr: 1e-06 
iter 2140 || Loss: 1681.6168212890625 || cur_lr: 1e-06 
iter 2150 || Loss: 1101.8165283203125 || cur_lr: 1e-06 
iter 2160 || Loss: 2045.5756225585938 || cur_lr: 1e-06 
iter 2170 || Loss: 1423.9859619140625 || cur_lr: 1e-06 
iter 2180 || Loss: 1584.6328125 || cur_lr: 1e-06 
iter 2190 || Loss: 1866.173583984375 || cur_lr: 1e-06 
iter 2200 || Loss: 1312.3172607421875 || cur_lr: 1e-06 
iter 2210 || Loss: 1226.8892517089844 || cur_lr: 1e-06 
iter 2220 || Loss: 1089.3106079101562 || cur_lr: 1e-06 
iter 2230 || Loss: 1433.541748046875 || cur_lr: 1e-06 
iter 2240 || Loss: 1153.3631896972656 || cur_lr: 1e-06 
iter 2250 || Loss: 1307.3820190429688 || cur_lr: 1e-06 
iter 2260 || Loss: 1221.4205322265625 || cur_lr: 1e-06 
iter 2270 || Loss: 1811.0458984375 || cur_lr: 1e-06 
iter 2280 || Loss: 1047.7865600585938 || cur_lr: 1e-06 
iter 2290 || Loss: 934.7582092285156 || cur_lr: 1e-06 
iter 2300 || Loss: 1142.3750610351562 || cur_lr: 1e-06 
iter 2310 || Loss: 1434.9765014648438 || cur_lr: 1e-06 
iter 2320 || Loss: 2152.4179077148438 || cur_lr: 1e-06 
iter 2330 || Loss: 903.2776184082031 || cur_lr: 1e-06 
iter 2340 || Loss: 960.6388854980469 || cur_lr: 1e-06 
iter 2350 || Loss: 1673.9436645507812 || cur_lr: 1e-06 
iter 2360 || Loss: 1512.0479125976562 || cur_lr: 1e-06 
iter 2370 || Loss: 1056.7052612304688 || cur_lr: 1e-06 
iter 2380 || Loss: 998.8589477539062 || cur_lr: 1e-06 
iter 2390 || Loss: 1480.3240966796875 || cur_lr: 1e-06 
iter 2400 || Loss: 926.1995849609375 || cur_lr: 1e-06 
iter 2410 || Loss: 916.2839050292969 || cur_lr: 1e-06 
iter 2420 || Loss: 1885.9777221679688 || cur_lr: 1e-06 
iter 2430 || Loss: 1822.4344482421875 || cur_lr: 1e-06 
iter 2440 || Loss: 595.7859649658203 || cur_lr: 1e-06 
iter 2450 || Loss: 928.7188720703125 || cur_lr: 1e-06 
iter 2460 || Loss: 1468.3440551757812 || cur_lr: 1e-06 
iter 2470 || Loss: 1358.8179321289062 || cur_lr: 1e-06 
iter 2480 || Loss: 1923.3748168945312 || cur_lr: 1e-06 
iter 2490 || Loss: 1488.8817749023438 || cur_lr: 1e-06 
iter 2500 || Loss: 1583.5921020507812 || cur_lr: 1e-06 
iter 2510 || Loss: 983.5284423828125 || cur_lr: 1e-06 
iter 2520 || Loss: 1526.1841430664062 || cur_lr: 1e-06 
iter 2530 || Loss: 1517.7811279296875 || cur_lr: 1e-06 
iter 2540 || Loss: 1005.8421936035156 || cur_lr: 1e-06 
iter 2550 || Loss: 1389.215087890625 || cur_lr: 1e-06 
iter 2560 || Loss: 1412.869873046875 || cur_lr: 1e-06 
iter 2570 || Loss: 965.1050720214844 || cur_lr: 1e-06 
iter 2580 || Loss: 1935.5634765625 || cur_lr: 1e-06 
iter 2590 || Loss: 1119.7872314453125 || cur_lr: 1e-06 
iter 2600 || Loss: 1515.9995727539062 || cur_lr: 1e-06 
iter 2610 || Loss: 1300.3969116210938 || cur_lr: 1e-06 
iter 2620 || Loss: 1310.5469055175781 || cur_lr: 1e-06 
iter 2630 || Loss: 1343.7379150390625 || cur_lr: 1e-06 
iter 2640 || Loss: 2270.673583984375 || cur_lr: 1e-06 
iter 2650 || Loss: 1506.8587646484375 || cur_lr: 1e-06 
iter 2660 || Loss: 988.8704833984375 || cur_lr: 1e-06 
iter 2670 || Loss: 917.8722839355469 || cur_lr: 1e-06 
iter 2680 || Loss: 1279.5684814453125 || cur_lr: 1e-06 
iter 2690 || Loss: 1133.1485290527344 || cur_lr: 1e-06 
iter 2700 || Loss: 1289.9775390625 || cur_lr: 1e-06 
iter 2710 || Loss: 1052.193603515625 || cur_lr: 1e-06 
iter 2720 || Loss: 1130.9239501953125 || cur_lr: 1e-06 
iter 2730 || Loss: 1499.67431640625 || cur_lr: 1e-06 
iter 2740 || Loss: 1233.2136535644531 || cur_lr: 1e-06 
iter 2750 || Loss: 1470.4266357421875 || cur_lr: 1e-06 
iter 2760 || Loss: 1305.276123046875 || cur_lr: 1e-06 
iter 2770 || Loss: 1165.4324340820312 || cur_lr: 1e-06 
iter 2780 || Loss: 1296.2306823730469 || cur_lr: 1e-06 
iter 2790 || Loss: 1668.7723999023438 || cur_lr: 1e-06 
iter 2800 || Loss: 1068.7147827148438 || cur_lr: 1e-06 
iter 2810 || Loss: 1424.1694946289062 || cur_lr: 1e-06 
iter 2820 || Loss: 1240.2871398925781 || cur_lr: 1e-06 
iter 2830 || Loss: 1220.9002685546875 || cur_lr: 1e-06 
iter 2840 || Loss: 1132.599609375 || cur_lr: 1e-06 
iter 2850 || Loss: 1054.4061279296875 || cur_lr: 1e-06 
iter 2860 || Loss: 1189.1299133300781 || cur_lr: 1e-06 
iter 2870 || Loss: 1157.5189208984375 || cur_lr: 1e-06 
iter 2880 || Loss: 1241.8324584960938 || cur_lr: 1e-06 
iter 2890 || Loss: 883.6452331542969 || cur_lr: 1e-06 
iter 2900 || Loss: 1593.3355102539062 || cur_lr: 1e-06 
iter 2910 || Loss: 1491.5616455078125 || cur_lr: 1e-06 
iter 2920 || Loss: 963.9494934082031 || cur_lr: 1e-06 
iter 2930 || Loss: 1453.134521484375 || cur_lr: 1e-06 
iter 2940 || Loss: inf || cur_lr: 1e-06 
iter 2950 || Loss: 1110.7229614257812 || cur_lr: 1e-06 
iter 2960 || Loss: 862.5637512207031 || cur_lr: 1e-06 
iter 2970 || Loss: 1100.4658813476562 || cur_lr: 1e-06 
iter 2980 || Loss: 1861.5979614257812 || cur_lr: 1e-06 
iter 2990 || Loss: 892.0801391601562 || cur_lr: 1e-06 
iter 3000 || Loss: 1429.2593994140625 || cur_lr: 1e-06 
iter 3010 || Loss: 1680.8673095703125 || cur_lr: 1e-06 
iter 3020 || Loss: 1496.366943359375 || cur_lr: 1e-06 
iter 3030 || Loss: 2206.8800048828125 || cur_lr: 1e-06 
iter 3040 || Loss: 840.9297180175781 || cur_lr: 1e-06 
iter 3050 || Loss: 1396.8096008300781 || cur_lr: 1e-06 
iter 3060 || Loss: 932.5166015625 || cur_lr: 1e-06 
iter 3070 || Loss: 1531.9720458984375 || cur_lr: 1e-06 
iter 3080 || Loss: 928.9456787109375 || cur_lr: 1e-06 
iter 3090 || Loss: 1679.912841796875 || cur_lr: 1e-06 
iter 3100 || Loss: 1475.1284790039062 || cur_lr: 1e-06 
iter 3110 || Loss: 1465.9157104492188 || cur_lr: 1e-06 
iter 3120 || Loss: 2431.9989624023438 || cur_lr: 1e-06 
iter 3130 || Loss: 1518.8822021484375 || cur_lr: 1e-06 
iter 3140 || Loss: 1866.339599609375 || cur_lr: 1e-06 
iter 3150 || Loss: 1037.1875610351562 || cur_lr: 1e-06 
iter 3160 || Loss: 1141.865478515625 || cur_lr: 1e-06 
iter 3170 || Loss: 838.5465393066406 || cur_lr: 1e-06 
iter 3180 || Loss: 1396.6971435546875 || cur_lr: 1e-06 
iter 3190 || Loss: 1225.4794921875 || cur_lr: 1e-06 
iter 3200 || Loss: 1224.2807922363281 || cur_lr: 1e-06 
iter 3210 || Loss: 1108.1634826660156 || cur_lr: 1e-06 
iter 3220 || Loss: 1235.0067749023438 || cur_lr: 1e-06 
iter 3230 || Loss: 1066.091552734375 || cur_lr: 1e-06 
iter 3240 || Loss: 1350.0784912109375 || cur_lr: 1e-06 
iter 3250 || Loss: 1143.5164489746094 || cur_lr: 1e-06 
iter 3260 || Loss: 1005.9217529296875 || cur_lr: 1e-06 
iter 3270 || Loss: 2608.9193115234375 || cur_lr: 1e-06 
iter 3280 || Loss: 883.9200439453125 || cur_lr: 1e-06 
iter 3290 || Loss: 1056.9370422363281 || cur_lr: 1e-06 
iter 3300 || Loss: 1857.8892822265625 || cur_lr: 1e-06 
iter 3310 || Loss: 1115.9929504394531 || cur_lr: 1e-06 
iter 3320 || Loss: 889.3671875 || cur_lr: 1e-06 
iter 3330 || Loss: 1370.2942504882812 || cur_lr: 1e-06 
iter 3340 || Loss: 1018.9389038085938 || cur_lr: 1e-06 
iter 3350 || Loss: 1177.6226501464844 || cur_lr: 1e-06 
iter 3360 || Loss: 1388.9700927734375 || cur_lr: 1e-06 
iter 3370 || Loss: 775.1882019042969 || cur_lr: 1e-06 
iter 3380 || Loss: 1752.429443359375 || cur_lr: 1e-06 
iter 3390 || Loss: 1365.0641479492188 || cur_lr: 1e-06 
iter 3400 || Loss: 1609.5368041992188 || cur_lr: 1e-06 
iter 3410 || Loss: 764.4413146972656 || cur_lr: 1e-06 
iter 3420 || Loss: 1007.5255126953125 || cur_lr: 1e-06 
iter 3430 || Loss: 1361.7738037109375 || cur_lr: 1e-06 
iter 3440 || Loss: 1335.4940490722656 || cur_lr: 1e-06 
iter 3450 || Loss: 1369.5085144042969 || cur_lr: 1e-06 
iter 3460 || Loss: 922.4276428222656 || cur_lr: 1e-06 
iter 3470 || Loss: 1237.1650390625 || cur_lr: 1e-06 
iter 3480 || Loss: 788.5854187011719 || cur_lr: 1e-06 
iter 3490 || Loss: 1083.0023498535156 || cur_lr: 1e-06 
iter 3500 || Loss: 1427.1111450195312 || cur_lr: 1e-06 
iter 3510 || Loss: 1211.2865600585938 || cur_lr: 1e-06 
iter 3520 || Loss: 991.3368225097656 || cur_lr: 1e-06 
iter 3530 || Loss: 1292.5059814453125 || cur_lr: 1e-06 
iter 3540 || Loss: 1276.5369262695312 || cur_lr: 1e-06 
iter 3550 || Loss: 999.9284973144531 || cur_lr: 1e-06 
iter 3560 || Loss: 1415.904052734375 || cur_lr: 1e-06 
iter 3570 || Loss: 1286.2777099609375 || cur_lr: 1e-06 
iter 3580 || Loss: 1397.9194946289062 || cur_lr: 1e-06 
iter 3590 || Loss: 1310.8172607421875 || cur_lr: 1e-06 
iter 3600 || Loss: 1182.1197814941406 || cur_lr: 1e-06 
iter 3610 || Loss: 1259.4530029296875 || cur_lr: 1e-06 
iter 3620 || Loss: 1107.766845703125 || cur_lr: 1e-06 
iter 3630 || Loss: 1188.856689453125 || cur_lr: 1e-06 
iter 3640 || Loss: 1008.8872375488281 || cur_lr: 1e-06 
iter 3650 || Loss: 1494.2330932617188 || cur_lr: 1e-06 
iter 3660 || Loss: 1760.322998046875 || cur_lr: 1e-06 
iter 3670 || Loss: 1675.1498413085938 || cur_lr: 1e-06 
iter 3680 || Loss: 1272.4554443359375 || cur_lr: 1e-06 
iter 3690 || Loss: 1314.5233459472656 || cur_lr: 1e-06 
iter 3700 || Loss: 868.5495910644531 || cur_lr: 1e-06 
iter 3710 || Loss: 2525.9405517578125 || cur_lr: 1e-06 
iter 3720 || Loss: 1277.9902954101562 || cur_lr: 1e-06 
iter 3730 || Loss: 1059.8861389160156 || cur_lr: 1e-06 
iter 3740 || Loss: 1016.1973876953125 || cur_lr: 1e-06 
iter 3750 || Loss: 830.4935302734375 || cur_lr: 1e-06 
iter 3760 || Loss: 1674.7382202148438 || cur_lr: 1e-06 
iter 3770 || Loss: 1475.9556884765625 || cur_lr: 1e-06 
iter 3780 || Loss: 1283.9875793457031 || cur_lr: 1e-06 
iter 3790 || Loss: 641.9306640625 || cur_lr: 1e-06 
iter 3800 || Loss: 1598.5824584960938 || cur_lr: 1e-06 
iter 3810 || Loss: 687.0903015136719 || cur_lr: 1e-06 
iter 3820 || Loss: 767.2860107421875 || cur_lr: 1e-06 
iter 3830 || Loss: 1851.3078002929688 || cur_lr: 1e-06 
iter 3840 || Loss: 1832.9453125 || cur_lr: 1e-06 
iter 3850 || Loss: 977.0958862304688 || cur_lr: 1e-06 
iter 3860 || Loss: 1276.3425903320312 || cur_lr: 1e-06 
iter 3870 || Loss: 1565.9934692382812 || cur_lr: 1e-06 
iter 3880 || Loss: 1102.2911071777344 || cur_lr: 1e-06 
iter 3890 || Loss: 853.8465270996094 || cur_lr: 1e-06 
iter 3900 || Loss: 1213.1828308105469 || cur_lr: 1e-06 
iter 3910 || Loss: 1182.9154663085938 || cur_lr: 1e-06 
iter 3920 || Loss: 1755.0228881835938 || cur_lr: 1e-06 
iter 3930 || Loss: 2730.302490234375 || cur_lr: 1e-06 
iter 3940 || Loss: 1242.7182006835938 || cur_lr: 1e-06 
iter 3950 || Loss: 1413.4732055664062 || cur_lr: 1e-06 
iter 3960 || Loss: 1390.235107421875 || cur_lr: 1e-06 
iter 3970 || Loss: 1228.3174438476562 || cur_lr: 1e-06 
